Date,Format,Location,Event,Link
"Mon, Jul 11 (8:00 PM)Mon, Jul 18 (8:00 PM)Mon, Jul 25 (8:00 PM)Mon, Aug 1 (8:00 PM)Mon, Aug 8 (8:00 PM)Mon, Aug 15 (8:00 PM)",Online,LocationOnline event,"[Every.Black, LLC] Every.Black Entrepreneur International Masterminds",https://www.eventbrite.com/e/everyblack-entrepreneur-international-masterminds-registration-112624900108?aff=ebdssbonlinesearch
"Tue, 19 Jul (12:00 PM)Tue, 19 Jul (6:00 PM)Tue, 16 Aug (12:00 PM)Tue, 16 Aug (6:00 PM)",Online,LocationOnline event,[Laurier Women Entrepreneurship Centre] Networking for Women Entrepreneurs,https://www.eventbrite.ca/e/networking-for-women-entrepreneurs-tickets-337369299657?aff=ebdssbonlinesearch
"Wed, Jul 13 (11:00 AM)Wed, Jul 20 (11:00 AM)Wed, Jul 27 (11:00 AM)Wed, Aug 3 (11:00 AM)Wed, Aug 10 (11:00 AM)Wed, Aug 17 (11:00 AM)",Online,LocationOnline event,[Aldreama Harper] Networking for Female Entrepreneurs,https://www.eventbrite.com/e/networking-for-female-entrepreneurs-tickets-149483997661?aff=ebdssbonlinesearch
"Fri, 5 Aug (10:30 AM)",Online,LocationOnline event,[Laurier Women Entrepreneurship Centre] Lean In Circle for Entrepreneurs,https://www.eventbrite.ca/e/lean-in-circle-for-entrepreneurs-registration-101769529402?aff=ebdssbonlinesearch
"Sat, 6 Aug (12:00 PM)",Online,LocationOnline event,[www.entrepreneurspoint.com] Black Entrepreneurs' Youth Initiative (BEYI)- Roundtable,https://www.eventbrite.ca/e/black-entrepreneurs-youth-initiative-beyi-roundtable-tickets-161940687957?aff=ebdssbonlinesearch
"Tue, Jul 12 (7:00 PM)Tue, Jul 19 (7:00 PM)Tue, Jul 26 (7:00 PM)Tue, Aug 2 (7:00 PM)Tue, Aug 9 (7:00 PM)Tue, Aug 16 (7:00 PM)",Online,LocationOnline event,"[Every.Black, LLC] Every.Black Caribbean Entrepreneur  Mastermind Meeting",https://www.eventbrite.com/e/everyblack-caribbean-entrepreneur-mastermind-meeting-registration-273417798997?aff=ebdssbonlinesearch
"Tue, Jul 12 (1:00 PM)Tue, Jul 19 (1:00 PM)Tue, Jul 26 (1:00 PM)Tue, Aug 2 (1:00 PM)Tue, Aug 9 (1:00 PM)Tue, Aug 16 (1:00 PM)",Online,LocationOnline event,[Happy Neighborhood Project] Black Entrepreneurs Free Online Networking Event,https://www.eventbrite.com/e/black-entrepreneurs-free-online-networking-event-registration-246425233507?aff=ebdssbonlinesearch
"Wed, Jul 13 (2:00 PM)Wed, Jul 20 (2:00 PM)Wed, Jul 27 (2:00 PM)Wed, Aug 3 (2:00 PM)Wed, Aug 10 (2:00 PM)Wed, Aug 17 (2:00 PM)",Online,LocationOnline event,[Forward Business Coalition] Global Entrepreneurs Network,https://www.eventbrite.com/e/global-entrepreneurs-network-tickets-382552042457?aff=ebdssbonlinesearch
"Fri, 5 Aug (1:00 PM)",Online,LocationOnline event,[YES Employment + Entrepreneurship] ELLEvating Women Entrepreneurs (Workshop),https://www.eventbrite.ca/e/ellevating-women-entrepreneurs-workshop-tickets-228459246757?aff=ebdssbonlinesearch
"Mon, Jul 11 (8:00 PM)Mon, Aug 1 (8:00 PM)",Online,LocationOnline event,[The Audacious Founder] Virtual Mastermind for High Achieving Female Entrepreneurs,https://www.eventbrite.com/e/virtual-mastermind-for-high-achieving-female-entrepreneurs-tickets-157088827913?aff=ebdssbonlinesearch
